GHM;MCO;CAS;DA;GP;GA;Classif PKCS;Libracine;Recours;Regroupement GHM PH
04M17;Médecine;Médecine sans acte classant;Pneumologie;Pneumologie;Affections respiratoires, autres;Pneumologie;Epanchements pleuraux;non  ;Epanchements pleuraux
04M18;Médecine;Médecine sans acte classant;Pneumologie;Pneumologie;Bronchites, bronchiolites et asthme;Pneumologie;Bronchiolites;non  ;Bronchites, bronchiolites et asthme < 18 ans
04M19;Médecine;Médecine sans acte classant;Pneumologie;Pneumologie;Infections respiratoires;Pneumologie;Tuberculoses;non  ;Tuberculoses
04M20;Médecine;Médecine sans acte classant;Pneumologie;Pneumologie;Infections respiratoires;Pneumologie;Bronchopneumopathies chroniques surinfectées;non  ;Bronchopneumopathies chroniques
04M21;Médecine;Médecine sans acte classant;Pneumologie;Pneumologie;Affections respiratoires, autres;Pneumologie;Suivis de greffe pulmonaire;oui  ;Suivis de greffe pulmonaire
04M25;Médecine;Médecine sans acte classant;Pneumologie;Pneumologie;Infections respiratoires;Pneumologie;Grippes;non  ;Grippes
04M26;Médecine;Médecine sans acte classant;Pneumologie;Pneumologie;Affections respiratoires, autres;Pneumologie;Fibroses kystiques avec manifestations pulmonaires;non  ;Fibroses kystiques avec manifestations pulmonaires
04M27;Médecine;Médecine sans acte classant;Pneumologie;Pneumologie;Affections respiratoires, autres;Pneumologie;Autres affections respiratoires concernant majoritairement la petite enfance;non  ;Autre affection respi de la petite enfance
05C02;Chirurgie;Chirurgie;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Chir. cardio-thoracique (hors transplant. d'organe), Pontages aorto-coronariens;Chirurgies valvulaires;Chir cardio;Chirurgie de remplacement valvulaire avec circulation extracorporelle et avec cathétérisme cardiaque ou coronarographie;oui  ;Remplacement valvulaire avec CEC
05C03;Chirurgie;Chirurgie;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Chir. cardio-thoracique (hors transplant. d'organe), Pontages aorto-coronariens;Chirurgies valvulaires;Chir cardio;Chirurgie de remplacement valvulaire avec circulation extracorporelle, sans cathétérisme cardiaque, ni coronarographie;oui  ;Remplacement valvulaire avec CEC
05C04;Chirurgie;Chirurgie;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Chir. cardio-thoracique (hors transplant. d'organe), Pontages aorto-coronariens;Pontages coronaires;Chir cardio;Pontages aortocoronariens avec cathétérisme cardiaque ou coronarographie;oui  ;Pontages coronaires
05C05;Chirurgie;Chirurgie;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Chir. cardio-thoracique (hors transplant. d'organe), Pontages aorto-coronariens;Pontages coronaires;Chir cardio;Pontages aortocoronariens sans cathétérisme cardiaque, ni coronarographie;oui  ;Pontages coronaires
05C06;Chirurgie;Chirurgie;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Chir. cardio-thoracique (hors transplant. d'organe), Pontages aorto-coronariens;Chirurgie cardiaque, autres;Chir cardio;Autres interventions cardiothoraciques, âge supérieur à 1 an, ou vasculaires quel que soit l'âge, avec circulation extracorporelle;oui  ;Autre chir cardiothoracique > 1 an ou vasc tout âge, avec CEC (valvuloplastie, aorte…)
05C07;Chirurgie;Chirurgie;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Chir. cardio-thoracique (hors transplant. d'organe), Pontages aorto-coronariens;Chirurgie cardiaque, autres;Chir cardio;Autres interventions cardiothoraciques, âge inférieur à 2 ans, avec circulation extracorporelle;oui  ;Autre chir cardiothoracique, < 2 ans avec CEC ou sans CEC
05C08;Chirurgie;Chirurgie;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Chir. cardio-thoracique (hors transplant. d'organe), Pontages aorto-coronariens;Chirurgie cardiaque, autres;Chir cardio;Autres interventions cardiothoraciques, âge supérieur à 1 an, ou vasculaires quel que soit l'âge, sans circulation extracorporelle;oui  ;Autre chir cardiothoraciques > 1 an ou vasculaires quel que soit l'âge, sans CEC
05C09;Chirurgie;Chirurgie;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Chir. cardio-thoracique (hors transplant. d'organe), Pontages aorto-coronariens;Chirurgie cardiaque, autres;Chir cardio;Autres interventions cardiothoraciques, âge inférieur à 2 ans, sans circulation extracorporelle;oui  ;Autre chir cardiothoracique, < 2 ans avec CEC ou sans CEC
05C10;Chirurgie;Chirurgie;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Chirurgie vasculaire;Chirurgies majeures revascularisation;Chir thoracique et vasculaire;Chirurgie majeure de revascularisation;oui  ;Chir majeure  revascularisation (anevrymse aorte abdo, pontage membre...)
05C11;Chirurgie;Chirurgie;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Chirurgie vasculaire;Autres chirurgies vasculaires;Chir thoracique et vasculaire;Autres interventions de chirurgie vasculaire;non  ;Autre chir vasculaire non majeure (thrombectomie artère membre...)
05C12;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Amputations;Ortho Traumato;Amputations du membre inférieur, sauf des orteils, pour troubles circulatoires;non  ;Amputation pour trouble circulatoire
05C13;Chirurgie;Chirurgie;Orthopédie traumatologie;Chirurgies autres de l'appareil locomoteur, amputations;Amputations;Ortho Traumato;Amputations pour troubles circulatoires portant sur le membre supérieur ou les orteils;non  ;Amputation pour trouble circulatoire
05C14;Chirurgie;Chirurgie;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Stimulateurs, Défibrillateurs cardiaques;Stimulateurs / défibrillateurs cardiaques;Cardio Vasc (médecine);Poses d'un stimulateur cardiaque permanent avec infarctus aigu du myocarde ou insuffisance cardiaque congestive ou état de choc;non  ;Pose stimulateur cardiaque permanent
05C15;Chirurgie;Chirurgie;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Stimulateurs, Défibrillateurs cardiaques;Stimulateurs / défibrillateurs cardiaques;Cardio Vasc (médecine);Poses d'un stimulateur cardiaque permanent sans infarctus aigu du myocarde, ni insuffisance cardiaque congestive, ni état de choc;non  ;Poses stimulateur cardiaque permanent
05C17;Chirurgie;Chirurgie;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Chirurgie vasculaire;Ligatures veines;Chir thoracique et vasculaire;Ligatures de veines et éveinages;non  ;Ligatures de veines et éveinages
05C18;Chirurgie;Chirurgie;Activités inter spécialités, suivi thérapeutique d'affections connues;Chirurgie inter spécialités;Chirurgie inter spécialités;Autres chirurgie;Autres interventions sur le système circulatoire;non  ;Autres interventions sur le système circulatoire
05C19;Chirurgie;Chirurgie;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Stimulateurs, Défibrillateurs cardiaques;Stimulateurs / défibrillateurs cardiaques;Cardio Vasc (médecine);Poses d'un défibrillateur cardiaque;oui  ;Pose défibrillateur cardiaque
05C20;Chirurgie;Chirurgie;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Stimulateurs, Défibrillateurs cardiaques;Stimulateurs / défibrillateurs cardiaques;Cardio Vasc (médecine);Remplacements ou ablations chirurgicale d'électrodes ou repositionnements de boîtier de stimulation cardiaque permanente;non  ;Remplacement, ablation électrodes ou repositionnement boîtier stim card
05C21;Chirurgie;Chirurgie;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Chirurgie vasculaire;Autres chirurgies vasculaires;Chir thoracique et vasculaire;Créations et réfections de fistules artérioveineuses pour affections de la CMD 05;non  ;Création, réfection fistule artérioveineuse pour pathologie vasculaire
05C22;Chirurgie;Chirurgie;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Stimulateurs, Défibrillateurs cardiaques;Stimulateurs / défibrillateurs cardiaques;Cardio Vasc (médecine);Remplacements de défibrillateurs ou de stimulateurs cardiaques permanents;non  ;Remplacement défibrillateur ou stimulateur cardiaque permanent
05K05;Médecine;Acte peu invasif;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes thérapeutiques vasculaires et coronariens avec endoprothèse ou prothèses cardiaques;Cathétérismes vasculaires diagnostiques et interventionnels;Endoprothèses vasculaires avec infarctus du myocarde;oui  ;Endoprothèses vasculaires avec infarctus du myocarde
05K06;Médecine;Acte peu invasif;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes thérapeutiques vasculaires et coronariens avec endoprothèse ou prothèses cardiaques;Cathétérismes vasculaires diagnostiques et interventionnels;Endoprothèses vasculaires sans infarctus du myocarde;non  ;Endoprothèse vasculaire sans IDM (Coronaire ++ ou autre vaisseau)
05K10;Médecine;Acte peu invasif;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes vasculaires diagnostiques et interventionnels;Cathéthérismes diagnostiques vasculaires et coronariens;Cathétérismes vasculaires diagnostiques et interventionnels;Actes diagnostiques par voie vasculaire;non  ;Acte diagnostique par voie vasculaire (coronarographie++)
05K11;Médecine;Acte peu invasif;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes thérapeutiques vasculaires et coronariens sans endoprothèse;Cathétérismes vasculaires diagnostiques et interventionnels;Traitements des troubles du rythme par voie vasculaire;non  ;Traitement troubles du rythme par voie vasculaire
05K12;Médecine;Acte peu invasif;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes thérapeutiques vasculaires et coronariens sans endoprothèse;Cathétérismes vasculaires diagnostiques et interventionnels;Actes thérapeutiques par voie vasculaire sauf endoprothèses, âge inférieur à 18 ans;oui  ;Acte thérapeutique voie vasculaire sauf endoprothèse, < 18 ans
05K13;Médecine;Acte peu invasif;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes thérapeutiques vasculaires et coronariens sans endoprothèse;Cathétérismes vasculaires diagnostiques et interventionnels;Actes thérapeutiques par voie vasculaire sauf endoprothèses, âge supérieur à 17 ans;non  ;Acte thérapeutique voie vasculaire sauf endoprothèse, > 17 ans
05K15;Médecine;Acte peu invasif;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes vasculaires diagnostiques et interventionnels;Cathéthérismes diagnostiques vasculaires et coronariens;Cathétérismes vasculaires diagnostiques et interventionnels;Surveillances de greffes de coeur avec acte diagnostique par voie vasculaire;oui  ;Surveillance greffe de coeur avec acte diag par voie vasculaire
05K19;Médecine;Acte peu invasif;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes thérapeutiques vasculaires et coronariens sans endoprothèse;Cathétérismes vasculaires diagnostiques et interventionnels;Traitements majeurs de troubles du rythme par voie vasculaire;non  ;Traitement troubles du rythme par voie vasculaire
05K20;Médecine;Acte peu invasif;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes thérapeutiques vasculaires et coronariens sans endoprothèse;Cathétérismes vasculaires diagnostiques et interventionnels;Autres traitements de troubles du rythme par voie vasculaire;non  ;Traitement troubles du rythme par voie vasculaire
05K21;Médecine;Acte peu invasif;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes thérapeutiques vasculaires et coronariens avec endoprothèse ou prothèses cardiaques;Cathétérismes vasculaires diagnostiques et interventionnels;Poses de bioprothèses de valves cardiaques par voie vasculaire;oui  ;Poses de bioprothèses de valves cardiaques par voie vasculaire (TAVI)
05K22;Médecine;Acte peu invasif;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes thérapeutiques vasculaires et coronariens sans endoprothèse;Cathétérismes vasculaires diagnostiques et interventionnels;Actes thérapeutiques par voie vasculaire sur les orifices du coeur, âge supérieur à 17 ans;non  ;Acte thérapeutique, voie vasculaire sur  orifice coeur, > 17 ans
05K23;Médecine;Acte peu invasif;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes thérapeutiques vasculaires et coronariens sans endoprothèse;Cathétérismes vasculaires diagnostiques et interventionnels;Ablations, repositionnements et poses de sondes cardiaques supplémentaires par voie vasculaire, âge supérieur à 17 ans;non  ;Ablation, repositionnement, pose sonde cardiaque suppl, voie vasculaire,> 17 ans
05K24;Médecine;Acte peu invasif;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes thérapeutiques vasculaires et coronariens sans endoprothèse;Cathétérismes vasculaires diagnostiques et interventionnels;Dilatations coronaires et autres actes thérapeutiques sur le coeur par voie vasculaire, âge supérieur à 17 ans;non  ;Dilatation coronaire, autres actes thérapeutiques sur coeur voie vasc, >17 ans
05K25;Médecine;Acte peu invasif;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes thérapeutiques vasculaires et coronariens sans endoprothèse;Cathétérismes vasculaires diagnostiques et interventionnels;Actes thérapeutiques sur les artères par voie vasculaire, âge supérieur à 17 ans;non  ;Acte thérapeutique artère, voie vasculaire, > 17 ans (dilatation)
05K26;Médecine;Acte peu invasif;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes vasculaires diagnostiques et interventionnels;Cathétérismes thérapeutiques vasculaires et coronariens sans endoprothèse;Cathétérismes vasculaires diagnostiques et interventionnels;Actes thérapeutiques sur les accès vasculaires ou les veines par voie vasculaire, âge supérieur à 17 ans;non  ;Acte thérapeutique sur accès vasculaire ou veine, voie vasculaire >17 ans (dilatation)
05M04;Médecine;Médecine sans acte classant;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Affections Cardio-vasculaires;Coronaropathies;Cardio Vasc (médecine);Infarctus aigu du myocarde;non  ;Coronaropathies (IDM, Angor)
05M05;Médecine;Médecine sans acte classant;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Affections Cardio-vasculaires;Cardiologie autres;Cardio Vasc (médecine);Syncopes et lipothymies;non  ;Syncopes et lipothymies
05M06;Médecine;Médecine sans acte classant;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Affections Cardio-vasculaires;Coronaropathies;Cardio Vasc (médecine);Angine de poitrine;non  ;Coronaropathies (IDM, Angor)
05M07;Médecine;Médecine sans acte classant;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Affections Cardio-vasculaires;Phlébites, varices et autres troubles vasculaires d'origine veineuse;Cardio Vasc (médecine);Thrombophlébites veineuses profondes;non  ;Thrombophlébites veineuses profondes
05M08;Médecine;Médecine sans acte classant;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Affections Cardio-vasculaires;Troubles du rythme/conduction;Cardio Vasc (médecine);Arythmies et troubles de la conduction cardiaque;non  ;Arythmies et troubles de la conduction cardiaque
05M09;Médecine;Médecine sans acte classant;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Affections Cardio-vasculaires;Cardiopathies, valvulopathies;Cardio Vasc (médecine);Insuffisances cardiaques et états de choc circulatoire;non  ;Insuffisances cardiaques et états de choc circulatoire
05M10;Médecine;Médecine sans acte classant;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Affections Cardio-vasculaires;Cardiopathies, valvulopathies;Cardio Vasc (médecine);Cardiopathies congénitales et valvulopathies, âge inférieur à 18 ans;oui  ;Cardiopathies congénitales et valvulopathies < 18 ans
05M11;Médecine;Médecine sans acte classant;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Affections Cardio-vasculaires;Cardiopathies, valvulopathies;Cardio Vasc (médecine);Cardiopathies congénitales et valvulopathies, âge supérieur à 17 ans;non  ;Cardiopathies congénitales et valvulopathies, âge supérieur à 17 ans
05M12;Médecine;Médecine sans acte classant;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Affections Cardio-vasculaires;Phlébites, varices et autres troubles vasculaires d'origine veineuse;Cardio Vasc (médecine);Troubles vasculaires périphériques;non  ;Troubles vasculaires périphériques
05M13;Médecine;Médecine sans acte classant;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Affections Cardio-vasculaires;Cardiologie autres;Cardio Vasc (médecine);Douleurs thoraciques;non  ;Douleurs thoraciques
05M14;Médecine;Médecine sans acte classant;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Affections Cardio-vasculaires;Cardiopathies, valvulopathies;Cardio Vasc (médecine);Arrêt cardiaque;non  ;Arrêt cardiaque
05M15;Médecine;Médecine sans acte classant;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Affections Cardio-vasculaires;Hypertension artérielle;Cardio Vasc (médecine);Hypertension artérielle;non  ;Hypertension artérielle
05M16;Médecine;Médecine sans acte classant;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Affections Cardio-vasculaires;Coronaropathies;Cardio Vasc (médecine);Athérosclérose coronarienne;non  ;Coronaropathies (IDM, Angor)
05M17;Médecine;Médecine sans acte classant;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Affections Cardio-vasculaires;Cardiologie autres;Cardio Vasc (médecine);Autres affections de l'appareil circulatoire;non  ;Autres affections de l'appareil circulatoire
05M18;Médecine;Médecine sans acte classant;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Affections Cardio-vasculaires;Endocardites;Cardio Vasc (médecine);Endocardites aiguës et subaiguës;non  ;Endocardites aiguës et subaiguës
05M19;Médecine;Médecine sans acte classant;Cardio-vasculaire (hors cathétérismes vasculaires diagnostiques et interventionnels);Affections Cardio-vasculaires;Cardiologie autres;Cardio Vasc (médecine);Surveillances de greffes de coeur sans acte diagnostique par voie vasculaire;oui  ;Surveillance greffe de coeur sans acte diag par voie vasculaire
06C02;Chirurgie;Chirurgie;Digestif;Chir. Digestive majeure : oesophage, estomac, grêle, côlon, rectum;Chirurgie digestive majeure ;Chirurgie digestive;Chirurgie majeure des malformations digestives;oui  ;Chirurgie majeure des malformations digestives
06C03;Chirurgie;Chirurgie;Digestif;Chir. Digestive majeure : oesophage, estomac, grêle, côlon, rectum;Chirurgie digestive majeure ;Chirurgie digestive;Résections rectales;non  ;Résection rectale (Tumeur…)
06C04;Chirurgie;Chirurgie;Digestif;Chir. Digestive majeure : oesophage, estomac, grêle, côlon, rectum;Chirurgie digestive majeure ;Chirurgie digestive;Interventions majeures sur l'intestin grêle et le côlon;non  ;Intervention majeure intestin grêle et côlon (tumeur, colostomie..)
06C05;Chirurgie;Chirurgie;Digestif;Chir. Digestive majeure : oesophage, estomac, grêle, côlon, rectum;Chirurgies digestives hautes;Chirurgie digestive;Interventions sur l'oesophage, l'estomac et le duodénum, âge inférieur à 18 ans;oui  ;Chir oesophage, estomac, duodénum, < 18 ans
06C07;Chirurgie;Chirurgie;Digestif;Chir. Viscérale autre : rate, grêle, colon, proctologie, hernies;Chirurgie mineure grêle/colon;Chirurgie digestive;Interventions mineures sur l'intestin grêle et le côlon;non  ;Chir mineure intestin grêle, côlon(fermeture entérostomie, prolapsus rectal, fistule…)
06C08;Chirurgie;Chirurgie;Digestif;Chir. Viscérale autre : rate, grêle, colon, proctologie, hernies;Appendicectomies;Chirurgie digestive;Appendicectomies compliquées;non  ;Appendicectomies
06C09;Chirurgie;Chirurgie;Digestif;Chir. Viscérale autre : rate, grêle, colon, proctologie, hernies;Appendicectomies;Chirurgie digestive;Appendicectomies non compliquées;non  ;Appendicectomies
06C10;Chirurgie;Chirurgie;Digestif;Chir. Viscérale autre : rate, grêle, colon, proctologie, hernies;Hernies;Chirurgie digestive;Interventions réparatrices pour hernies et éventrations, âge inférieur à 18 ans;non  ;Hernies <18 ans
06C11;Chirurgie;Chirurgie;Digestif;Chir. Viscérale autre : rate, grêle, colon, proctologie, hernies;Hernies;Chirurgie digestive;Interventions réparatrices pour hernies et éventrations à l'exception des hernies inguinales et crurales, âge supérieur à 17 ans;non  ;Hernies Adulte
06C12;Chirurgie;Chirurgie;Digestif;Chir. Viscérale autre : rate, grêle, colon, proctologie, hernies;Hernies;Chirurgie digestive;Interventions réparatrices pour hernies inguinales et crurales, âge supérieur à 17 ans;non  ;Hernies Adulte
06C13;Chirurgie;Chirurgie;Digestif;Chir. Viscérale autre : rate, grêle, colon, proctologie, hernies;Autres chirurgies digestives;Chirurgie digestive;Libérations d'adhérences péritonéales;non  ;Libérations d'adhérences péritonéales
06C14;Chirurgie;Chirurgie;Digestif;Chir. Viscérale autre : rate, grêle, colon, proctologie, hernies;Chirurgies rectum/anus (hors résections);Chirurgie digestive;Interventions sur le rectum et l'anus autres que les résections rectales;non  ;Chir rectum et anus autres que résection rectale (Abces, fissure…)
06C15;Chirurgie;Chirurgie;Digestif;Chir. Viscérale autre : rate, grêle, colon, proctologie, hernies;Autres chirurgies digestives;Chirurgie digestive;Autres interventions sur le tube digestif en dehors des laparotomies;non  ;Autre Chir tube digestif hors laparo (tumeur retro ou péritoine, adhérence par coelio, rectosc …)
06C16;Chirurgie;Chirurgie;Digestif;Chir. Digestive majeure : oesophage, estomac, grêle, côlon, rectum;Chirurgies digestives hautes;Chirurgie digestive;Interventions sur l'oesophage, l'estomac et le duodénum pour tumeurs malignes, âge supérieur à 17 ans;non  ;Intervention oesophage, estomac, duodénum, tumeurs malignes > 17 ans
06C19;Chirurgie;Chirurgie;Digestif;Chir. Viscérale autre : rate, grêle, colon, proctologie, hernies;Chirurgies rectum/anus (hors résections);Chirurgie digestive;Hémorroïdectomies;non  ;Hémorroïdectomies
06C20;Chirurgie;Chirurgie;Digestif;Chir. Digestive majeure : oesophage, estomac, grêle, côlon, rectum;Chirurgies digestives hautes;Chirurgie digestive;Interventions sur l'oesophage, l'estomac et le duodénum pour ulcères, âge supérieur à 17 ans;non  ;Chir oesophage, estomac, duodénum pour ulcères, > 17 ans
06C21;Chirurgie;Chirurgie;Digestif;Chir. Viscérale autre : rate, grêle, colon, proctologie, hernies;Autres chirurgies digestives;Chirurgie digestive;Autres interventions sur le tube digestif par laparotomie;non  ;Autres interventions sur le tube digestif par laparotomie
06C22;Chirurgie;Chirurgie;Digestif;Chir. Digestive majeure : oesophage, estomac, grêle, côlon, rectum;Chirurgies digestives hautes;Chirurgie digestive;Interventions sur l'oesophage, l'estomac et le duodénum pour affections autres que malignes ou ulcères, âge supérieur à 17 ans;non  ;Chir oesophage, estomac, duodé. hors cancer ou ulcère > 17 ans, (Hernie diap, RGO, divert oeso…)
06C23;Chirurgie;Chirurgie;Digestif;Chir. Viscérale autre : rate, grêle, colon, proctologie, hernies;Autres chirurgies digestives;Chirurgie digestive;Certaines interventions pour stomies;non  ;Certaines interventions pour stomies
06C24;Chirurgie;Chirurgie;Digestif;Chir. Viscérale autre : rate, grêle, colon, proctologie, hernies;Hernies;Chirurgie digestive;Cures d'éventrations postopératoires, âge supérieur à 17 ans;non  ;Hernies Adulte
06C25;Chirurgie;Chirurgie;Digestif;Chir. Viscérale autre : rate, grêle, colon, proctologie, hernies;Hernies;Chirurgie digestive;Interventions réparatrices pour hernies à l'exception des hernies inguinales, crurales, âge supérieur à 17 ans;non  ;Hernies Adulte
06M02;Médecine;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Autres gastroentérites et maladies diverses du tube digestif;Hépato-Gastro-Entérologie;Autres gastroentérites et maladies diverses du tube digestif, âge inférieur à 18 ans;non  ;Gastroentérite, maladies tube digestif < 18 ans
06M03;Médecine;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Autres gastroentérites et maladies diverses du tube digestif;Hépato-Gastro-Entérologie;Autres gastroentérites et maladies diverses du tube digestif, âge supérieur à 17 ans;non  ;Gastroentérite, maladie tube digestif > 17 ans (diverticulite, gastro-entérite…)
06M04;Médecine;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Ulcères, hémorragies digestives;Hépato-Gastro-Entérologie;Hémorragies digestives;non  ;Hémorragies digestives
06M05;Médecine;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Prise en charge médicale des tumeurs malignes du tube digestif;Hépato-Gastro-Entérologie;Autres tumeurs malignes du tube digestif;non  ;Prise en charge médicale des tumeurs malignes du tube digestif
06M06;Chirurgie;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Occlusions, sub-occlusions digestives;Hépato-Gastro-Entérologie;Occlusions intestinales non dues à une hernie;non  ;Occlusions intestinales non dues à une hernie
06M07;Médecine;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Maladies inflammatoires de l'intestin;Hépato-Gastro-Entérologie;Maladies inflammatoires de l'intestin;non  ;Maladies inflammatoires de l'intestin
06M08;Médecine;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Autres affections digestives;Hépato-Gastro-Entérologie;Autres affections digestives, âge inférieur à 18 ans;non  ;Autres affections digestives < 18 ans
06M09;Médecine;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Autres affections digestives;Hépato-Gastro-Entérologie;Autres affections digestives, âge supérieur à 17 ans;non  ;Autres affections digestives, âge supérieur à 17 ans
06M10;Médecine;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Ulcères, hémorragies digestives;Hépato-Gastro-Entérologie;Ulcères gastroduodénaux compliqués;non  ;Ulcères gastroduodénaux
06M11;Médecine;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Ulcères, hémorragies digestives;Hépato-Gastro-Entérologie;Ulcères gastroduodénaux non compliqués;non  ;Ulcères gastroduodénaux
06M12;Médecine;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Symptômes digestifs;Hépato-Gastro-Entérologie;Douleurs abdominales;non  ;Douleurs abdominales
06M13;Médecine;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Prise en charge médicale des tumeurs malignes du tube digestif;Hépato-Gastro-Entérologie;Tumeurs malignes de l'oesophage et de l'estomac;non  ;Prise en charge médicale des tumeurs malignes du tube digestif
06M14;Médecine;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Gastro-entérites et affections du tube digestif;Hépato-Gastro-Entérologie;Invaginations intestinales aigües;non  ;Invaginations intestinales aigües
06M19;Médecine;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Gastro-entérites et affections du tube digestif;Hépato-Gastro-Entérologie;Affections sévères du tube digestif;non  ;Affections sévères du tube digestif (diverticule, fistule…)
06M20;Médecine;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Gastro-entérites et affections du tube digestif;Hépato-Gastro-Entérologie;Tumeurs bénignes de l'appareil digestif;non  ;Tumeurs bénignes de l'appareil digestif
06M21;Médecine;Médecine sans acte classant;Digestif;Hépato-Gastro-Entérologie;Autres affections digestives;Hépato-Gastro-Entérologie;Autres affections digestives concernant majoritairement la petite enfance;non  ;Autre affection digestive de la petite enfance
07C06;Chirurgie;Chirurgie;Digestif;Chir. hépato-biliaire et pancréatique;Autres chirurgies foie, pancréas, voies biliaires;Chirurgie digestive;Interventions diagnostiques sur le système hépato-biliaire et pancréatique pour affections malignes;oui  ;Chir diagnostique système hépato-biliaire et pancréatique, affection maligne
